,gene_id,gene_name,fit_beta,fit_gamma
0,ENSG00000273748,AL592183.1,0.07056908301729495,0.0966564115200933
1,ENSG00000175756,AURKAIP1,6.165966568344734,0.05522222278557164
2,ENSG00000242485,MRPL20,2.3357768098885505,0.08156987928168973
3,ENSG00000160075,SSU72,3.1091972341637404,0.057504402320326685
4,ENSG00000074800,ENO1,2.4701500960595326,0.06484965427035097
5,ENSG00000171603,CLSTN1,0.12378500320512252,0.04378288162433032
6,ENSG00000177000,MTHFR,0.9224821664858788,0.21408003590781624
7,ENSG00000132906,CASP9,0.42059509059063616,0.1868860211184232
8,ENSG00000179743,AL450998.2,0.6017776670478893,0.07921194100745503
9,ENSG00000159363,ATP13A2,0.6261840745077346,0.09889563044590123
10,ENSG00000053371,AKR7A2,3.3991858921601272,0.15321084829841222
11,ENSG00000127483,HP1BP3,0.11960729512696,0.08527750350608379
12,ENSG00000075151,EIF4G3,0.025846499885754912,0.10822836800298848
13,ENSG00000117298,ECE1,0.0863071673305568,0.12293531066996753
14,ENSG00000142798,HSPG2,0.2796469765629657,0.2374059408288711
15,ENSG00000007968,E2F2,0.4751279214498263,0.19791762711858504
16,ENSG00000117305,HMGCL,0.5132049772925845,0.08459302601423456
17,ENSG00000117614,SYF2,11.973744019916506,0.1212449314009885
18,ENSG00000117616,RSRP1,0.014243841698883106,0.038460316044943314
19,ENSG00000188672,RHCE,0.06883836555601726,0.09063862544132527
20,ENSG00000127423,AUNIP,0.019820128466784808,0.04095825023376887
21,ENSG00000117632,STMN1,2.1748726906128897,0.12158759365814813
22,ENSG00000142751,GPN2,0.3246972135561948,0.03533997217909171
23,ENSG00000158195,WASF2,0.2543139049527937,0.030737833498336125
24,ENSG00000158161,EYA3,0.016540097576541568,0.023220632929405384
25,ENSG00000197989,SNHG12,0.3405684116022618,0.10527884041563436
26,ENSG00000120656,TAF12,0.12285949008186955,0.06780402288621994
27,ENSG00000162511,LAPTM5,8.513397690724661,0.1910762242499124
