<<<<<<< HEAD
,gene_id,log(estimated_mean donor-bond and acceptor-bond half-life time [min])
0,ENSG00000000419,1.0818906293502517
1,ENSG00000000457,0.9067517438601248
2,ENSG00000000460,1.074783852264922
3,ENSG00000000971,4.02680549678339
4,ENSG00000001036,2.1084954922471937
5,ENSG00000001084,0.9265708143994186
6,ENSG00000001167,0.5900541970216092
7,ENSG00000001497,2.2063358107007938
8,ENSG00000001629,0.7589955898363134
9,ENSG00000001630,1.266932176303943
10,ENSG00000001631,3.115912263195986
11,ENSG00000002549,0.996594428555859
12,ENSG00000002822,2.0885779080103744
13,ENSG00000002834,2.080417816905147
14,ENSG00000002919,0.6927747745743185
15,ENSG00000003056,2.5686412616979033
16,ENSG00000003147,0.613541059266453
17,ENSG00000003393,3.3184703576048227
18,ENSG00000003400,1.5356100173460874
19,ENSG00000003402,1.534272753855794
20,ENSG00000003436,1.0835211733174646
21,ENSG00000003509,2.1057087939095687
22,ENSG00000003756,0.9583447947245166
23,ENSG00000004059,3.4161631412535027
24,ENSG00000004139,2.4666195348757354
25,ENSG00000004142,1.7631090333857504
26,ENSG00000004399,4.091319754287113
27,ENSG00000004455,1.3807713184616872
28,ENSG00000004478,3.6169435361614672
29,ENSG00000004487,2.399863230185646
30,ENSG00000004534,1.3615469052111515
31,ENSG00000004700,1.670937048535298
32,ENSG00000004766,1.1190996249246605
33,ENSG00000004779,1.1379839438933004
34,ENSG00000004864,1.0199313838450847
35,ENSG00000004866,0.8406844416194001
36,ENSG00000004897,0.4889512784827503
37,ENSG00000004961,0.9393677553012708
38,ENSG00000004975,2.797264395130055
39,ENSG00000005007,2.6369800321749857
40,ENSG00000005022,2.4083060873131927
41,ENSG00000005075,3.720198132154577
42,ENSG00000005100,0.3351659301924416
43,ENSG00000005156,2.945790062567993
44,ENSG00000005175,3.522632032849206
45,ENSG00000005187,1.8888298402869823
46,ENSG00000005189,1.7525599795164073
47,ENSG00000005194,2.0128947989686177
48,ENSG00000005238,2.695808074075042
49,ENSG00000005249,1.0084846786705943
50,ENSG00000005302,2.552229463443948
51,ENSG00000005339,0.2433150663541702
52,ENSG00000005379,1.648332570353508
53,ENSG00000005436,4.2299139708918805
54,ENSG00000005483,0.6450225327691768
55,ENSG00000005486,2.8533699657850913
56,ENSG00000005700,0.25514706957300587
57,ENSG00000005801,1.5806190224182497
58,ENSG00000005810,0.768220063162127
59,ENSG00000005812,1.2738998595700004
60,ENSG00000005889,0.5130824998777055
61,ENSG00000005893,1.8638080426303862
62,ENSG00000006007,1.1187316255669983
63,ENSG00000006015,3.6365899504052437
64,ENSG00000006025,3.021482729041527
65,ENSG00000006062,1.5065399580058958
66,ENSG00000006125,2.0579770549340832
67,ENSG00000006194,2.877077748990386
68,ENSG00000006327,2.8078542780534774
69,ENSG00000006451,3.1064670151810496
70,ENSG00000006453,1.318297949576591
71,ENSG00000006459,1.5163076020844792
72,ENSG00000006530,1.7708208609687734
73,ENSG00000006576,3.2714855391169415
74,ENSG00000006607,0.4024184608668234
75,ENSG00000006625,4.443286704285534
76,ENSG00000006634,1.0971871904559471
