,gene_id,AAAAUAUA,AUAAAAUA
0,ENSMUSG00000033813,0.00019080363302654334,0.00020020709109417437
1,ENSMUSG00000025907,8.260772157779153e-05,3.0786694660602356e-05
2,ENSMUSG00000025917,0.00010111397993766382,0.0002570955821124947
3,ENSMUSG00000048960,7.59805183254636e-05,8.816186285530729e-05
4,ENSMUSG00000057715,9.560457887697685e-05,0.00022766371361096957
5,ENSMUSG00000025935,0.0,0.0
6,ENSMUSG00000025920,4.7825055360343714e-05,3.306481065422295e-05
7,ENSMUSG00000042686,1.7253956129349586e-05,8.397762097738458e-05
8,ENSMUSG00000025931,0.00013496760879103998,0.00010442614059413245
9,ENSMUSG00000028033,9.665012431346411e-05,0.00014601049094710572
10,ENSMUSG00000026158,3.276101667280042e-05,9.055346276441612e-06
11,ENSMUSG00000026155,7.977444042257947e-05,3.1486941602201235e-05
12,ENSMUSG00000026153,6.783894453522936e-05,0.00014210690475376767
13,ENSMUSG00000026141,6.526291721969208e-05,8.245096775913502e-05
14,ENSMUSG00000048874,0.00011209943854785112,8.990667739473123e-05
15,ENSMUSG00000026058,0.0001413669497726809,0.00011840416289363928
16,ENSMUSG00000037509,3.979785051851172e-06,0.0003058170851858864
17,ENSMUSG00000037351,0.0,9.825595676737902e-06
18,ENSMUSG00000026111,0.0,0.0
19,ENSMUSG00000026090,5.550796630499896e-05,9.226713436307579e-05
20,ENSMUSG00000058407,0.00014381625158683438,0.0
21,ENSMUSG00000026083,4.018485031143259e-06,2.054126226056591e-06
22,ENSMUSG00000050967,5.852059925093633e-05,4.3890449438202246e-05
23,ENSMUSG00000060679,0.00019108647432771245,2.4578158167682206e-05
24,ENSMUSG00000057363,2.2589564586952436e-05,4.958647003080134e-05
25,ENSMUSG00000026109,0.00016391225025701674,0.00011594367246788055
26,ENSMUSG00000041439,7.550889366932414e-05,3.8532534053618396e-05
27,ENSMUSG00000025982,1.731511782937683e-05,4.670496473775162e-06
28,ENSMUSG00000051223,0.0,0.0
29,ENSMUSG00000038174,0.0001161890208502293,0.00014557991376899576
30,ENSMUSG00000026021,8.356566531124208e-05,8.61516454871086e-05
31,ENSMUSG00000026019,0.00012122092257776986,1.888788153520701e-05
32,ENSMUSG00000025959,3.0984703887566804e-05,4.061003776633572e-05
33,ENSMUSG00000015222,0.0001316447047939469,0.00015985001050125664
34,ENSMUSG00000055567,6.673116507240351e-05,0.00017488429938649407
35,ENSMUSG00000026000,5.990428302313345e-05,7.09448466670721e-05
36,ENSMUSG00000062209,0.0001380286896151633,0.00011026664708368617
37,ENSMUSG00000026193,3.1974260103766964e-05,3.22553506267454e-05
38,ENSMUSG00000006304,0.0,0.0
39,ENSMUSG00000026204,0.0,0.0
40,ENSMUSG00000033061,6.731287022078621e-05,0.0
41,ENSMUSG00000026235,2.060288981822399e-05,0.00015344894922559598
42,ENSMUSG00000026249,3.1502114084130486e-05,1.318206014528422e-05
43,ENSMUSG00000026163,0.0001616817676738552,0.00014693113185135952
44,ENSMUSG00000036766,7.59366978353159e-05,6.90733661482399e-05
45,ENSMUSG00000026227,0.0,0.0
46,ENSMUSG00000026229,8.259817309574853e-05,0.00014134230660653278
47,ENSMUSG00000026234,0.0,7.94533608771651e-05
48,ENSMUSG00000026238,0.0,0.0
49,ENSMUSG00000070738,4.2298976604428234e-05,1.3401012016031361e-05
50,ENSMUSG00000005501,0.00017925246636188734,8.976383985794061e-05
51,ENSMUSG00000055013,1.561653860415471e-05,3.2660827107978315e-05
52,ENSMUSG00000026305,1.1079292529715644e-05,8.663408272936867e-05
53,ENSMUSG00000034353,1.203224642040669e-05,0.00010549768851238236
54,ENSMUSG00000034343,5.713404779589017e-05,0.0
55,ENSMUSG00000026260,1.698846137224487e-05,0.0
56,ENSMUSG00000026275,0.0,0.00012320465441453238
57,ENSMUSG00000051185,0.00020732020538858476,5.757715338553662e-05
58,ENSMUSG00000057329,4.1445132565216874e-05,8.289026513043375e-05
59,ENSMUSG00000070695,9.480297797546727e-05,0.00017819530499970203
60,ENSMUSG00000026374,0.0,0.0
61,ENSMUSG00000064302,3.391910853876453e-05,7.306896366238447e-05
62,ENSMUSG00000026385,0.0,5.860290670417253e-05
63,ENSMUSG00000001674,9.560613910403716e-05,0.00026907859264624156
64,ENSMUSG00000026347,2.7644271215521976e-05,9.115404321015305e-05
65,ENSMUSG00000056211,0.00019304389461933177,8.923984231556067e-05
66,ENSMUSG00000026356,5.2061407505042136e-05,0.00010994583025859502
67,ENSMUSG00000026425,3.252700446459039e-05,5.230712250058536e-05
68,ENSMUSG00000026434,0.0,1.7324417033366826e-05
69,ENSMUSG00000026442,3.695777329223893e-06,9.733233009207728e-06
70,ENSMUSG00000026447,9.549274255156608e-06,0.0
71,ENSMUSG00000073557,5.5660115356797905e-05,9.589443140351045e-05
72,ENSMUSG00000009418,4.6820579188662155e-05,4.103471507204859e-05
73,ENSMUSG00000079283,0.0002542376951933561,0.0
74,ENSMUSG00000018189,1.1021226882976612e-05,0.0002918273697430922
75,ENSMUSG00000026360,0.0,0.0
76,ENSMUSG00000035131,0.00024650059721566925,0.00025921839916675317
77,ENSMUSG00000032666,6.167558355192589e-05,4.9512634973105566e-05
78,ENSMUSG00000026482,3.382608803395932e-05,3.0611766898576174e-05
79,ENSMUSG00000042772,6.058544989180646e-06,0.0001428067415028575
80,ENSMUSG00000042751,2.861288311330878e-05,1.932328319843913e-05
81,ENSMUSG00000026478,3.4367625647891464e-05,5.791571960094451e-05
82,ENSMUSG00000004110,7.045662602866652e-05,8.334753685243296e-05
83,ENSMUSG00000026469,5.5664556185933194e-05,4.627680443265037e-05
84,ENSMUSG00000033701,8.857587783630888e-05,0.0002275217284725758
85,ENSMUSG00000015484,0.0,0.0
